,Timestamp,Gender,Age,District,Job,Education,MaritalStatus,MonthlySalary,MobilePhone,BankAccounts,AwareOfMobileBankingApps,Place,MobileBanking,Reasons,TransactionFrequency,TransactionMethods,FullyAwareOfMobileBanking,PreferOtherMethods,NotComfortableWithNewTech,NotSatisfiedWithUI,LanguageProblems,NetworkConnectivityTrust,SecurityRisks,MobileServiceProviderPoorPerformance,Motivations,,,,,,,,,,,,,,,,,,,,,,,,
27,2020/12/05 12:30:46 AM GMT+5:30,Female,26,Galle,Private Sector,Graduate,Unmarried,"Above 100, 001",Yes,Yes,Yes,Bank directly,Yes,,Monthly - Several times,Online (Internet),Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,
28,2020/12/05 7:50:39 PM GMT+5:30,Male,30,Kegalle,Government Sector,Graduate,Unmarried,"30, 001 – 60, 000",Yes,Yes,Yes,Friends or Family,No,I am not fully aware of Mobile Banking;Setting up Mobile Banking is tiresome / takes time,Monthly - Several times,ATM (Automatic Teller Machine),Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Increased awareness on mobile banking,,,,,,,,,,,,,,,,,,,,,,,,
29,2020/12/05 7:59:06 PM GMT+5:30,Male,64,Kegalle,Government Sector,Diploma,Married,"30, 001 – 60, 000",Yes,Yes,No,,No,My phone does not support it;Prefer other means like bank directly or internet banking;I am not fully aware of Mobile Banking,Monthly - Several times,At Bank,Strongly Disagree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Increased awareness on mobile banking,,,,,,,,,,,,,,,,,,,,,,,,
30,2020/12/05 8:02:33 PM GMT+5:30,Female,60,Kegalle,Government Sector,Diploma,Married,"30, 001 – 60, 000",Yes,Yes,No,,No,Prefer other means like bank directly or internet banking;I am not fully aware of Mobile Banking,Monthly - Several times,ATM (Automatic Teller Machine),Strongly Disagree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Increased awareness on mobile banking,,,,,,,,,,,,,,,,,,,,,,,,
31,2020/12/05 8:08:16 PM GMT+5:30,Female,49,Anuradhapura,House-wife,A / L,Married,"Below 10, 000",Yes,Yes,Yes,,No,Prefer other means like bank directly or internet banking;I am not fully aware of Mobile Banking,Monthly - Several times,ATM (Automatic Teller Machine),Strongly Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Increased awareness on mobile banking,,,,,,,,,,,,,,,,,,,,,,,,
32,2020/12/05 9:15:42 PM GMT+5:30,Female,54,Matara,Unemployed,A / L,Married,"30, 001 – 60, 000",Yes,Yes,Yes,Friends or Family,No,My phone does not support it;Transactional risk;Complicated User Interface,Occasionally (less than once a month),ATM (Automatic Teller Machine),Neutral,Neutral,Neutral,Neutral,Agree,Neutral,,Neutral,Increased awareness on mobile banking;Improved User Interface,,,,,,,,,,,,,,,,,,,,,,,,
33,2020/12/05 9:33:05 PM GMT+5:30,Female,26,Colombo,Private Sector,Graduate,Unmarried,"30, 001 – 60, 000",Yes,Yes,Yes,Bank directly,No,I am not fully aware of Mobile Banking,Monthly - Once,ATM (Automatic Teller Machine),Disagree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Improved User Interface,,,,,,,,,,,,,,,,,,,,,,,,
34,2020/12/05 9:35:49 PM GMT+5:30,Male,30,Colombo,Private Sector,Graduate,Unmarried,"Above 100, 001",Yes,Yes,Yes,Bank directly,No,Prefer other means like bank directly or internet banking,Weekly - Several times,Online (Internet),Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Reduced risks involved in my transactions;Increased awareness on mobile banking,,,,,,,,,,,,,,,,,,,,,,,,
35,2020/12/05 9:40:04 PM GMT+5:30,Female,24,Kalutara,Unemployed,A / L,Unmarried,,Yes,Yes,Yes,"Media (Television, Radio, Newspaper)",No,I am not fully aware of Mobile Banking,,At Bank,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Increased awareness on mobile banking,,,,,,,,,,,,,,,,,,,,,,,,
36,2020/12/05 9:42:40 PM GMT+5:30,Female,21,Kegalle,Private Sector,A / L,Unmarried,"Below 10, 000",Yes,Yes,Yes,"Media (Television, Radio, Newspaper)",Yes,,Weekly - Once,At Bank,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,
37,2020/12/05 9:43:55 PM GMT+5:30,Female,25,Kalutara,Student ,Graduate,Unmarried,"Below 10, 000",Yes,Yes,Yes,Bank directly,No,,Occasionally (less than once a month),At Bank,,,,,,,,,Reduced risks involved in my transactions,,,,,,,,,,,,,,,,,,,,,,,,
